Name	20446_OCI-shC-1_S37_L999_R1_001	20447_OCI-shC-2_S38_L999_R1_001	20450_OCI-shP9-1_S40_L999_R1_001	20451_OCI-shP9-2_S41_L999_R1_001
ENSG00000039123	4041	4339	4155	4092
ENSG00000039139	2	8	3	4
ENSG00000039319	782	1024	1083	984
ENSG00000039523	931	939	1036	1035
ENSG00000039537	2	0	0	0
ENSG00000039560	874	903	581	577
ENSG00000039600	1	5	4	4
ENSG00000039650	782	889	775	903
ENSG00000039987	1	0	1	0
ENSG00000040199	316	358	390	386
ENSG00000040275	2055	2231	1921	1852
ENSG00000040341	1913	1985	1653	1656
ENSG00000040487	951	969	681	674
ENSG00000040531	254	257	348	308
ENSG00000040608	45	47	47	41
ENSG00000040633	826	866	769	781
ENSG00000040731	2	0	6	0
ENSG00000040933	1321	1490	1534	1513
ENSG00000041353	34	33	50	51
ENSG00000041357	4975	5392	6292	6127
ENSG00000041515	1	1	1	3
ENSG00000041802	2144	2339	2258	2411
ENSG00000041880	77	77	64	65
ENSG00000041982	0	2	1	3
ENSG00000041988	283	309	264	292
ENSG00000042062	7	3	2	3
ENSG00000042088	1710	1907	1531	1632
ENSG00000042286	313	358	452	419
ENSG00000042304	14	19	9	12
ENSG00000042317	180	197	137	152
ENSG00000042429	140	179	150	154
ENSG00000042445	635	646	633	703
ENSG00000042493	3612	3793	4868	4695
ENSG00000042753	3114	3321	2950	2865
ENSG00000042781	4	1	4	2
ENSG00000042813	0	0	0	0
ENSG00000042832	30	22	60	57
ENSG00000042980	30	27	191	216
ENSG00000043039	2	2	2	3
ENSG00000043093	1696	1851	1632	1590
ENSG00000043143	1901	2017	1741	1731
ENSG00000043355	1324	1471	1087	1131
ENSG00000043462	1745	1897	1848	1836
ENSG00000043514	3095	3359	3179	2976
ENSG00000043591	632	666	744	686
ENSG00000044012	0	0	0	0
ENSG00000044090	571	642	628	625
ENSG00000044115	4145	4309	4667	4479
ENSG00000044446	1051	1155	994	1041
ENSG00000044459	1141	1212	1107	1061
ENSG00000044524	4	2	5	3
ENSG00000044574	19252	20930	21331	20781
ENSG00000046604	1036	1099	610	547
ENSG00000046647	186	240	167	158
ENSG00000046651	939	1023	617	640
ENSG00000046653	188	185	82	80
ENSG00000046774	0	0	0	0
ENSG00000046889	6	7	2	3
ENSG00000047056	1141	1260	1389	1459
ENSG00000047188	1741	2019	1860	1768
ENSG00000047230	578	684	494	491
ENSG00000047249	800	775	1236	1322
ENSG00000047315	5949	6529	6097	5903
ENSG00000047346	144	188	148	136
ENSG00000047365	66	70	59	54
ENSG00000047410	10511	11200	10177	10288
ENSG00000047457	3	0	3	1
ENSG00000047578	594	575	530	565
ENSG00000047579	378	383	316	317
ENSG00000047597	347	336	134	141
ENSG00000047617	0	0	0	0
ENSG00000047621	493	595	566	569
ENSG00000047634	22	21	22	15
ENSG00000047644	326	379	318	312
ENSG00000047648	7	7	14	11
ENSG00000047662	8	5	10	15
ENSG00000047849	3449	3524	4428	4491
ENSG00000047932	3146	3575	2490	2376
ENSG00000047936	88	117	43	31
ENSG00000048028	273	286	284	263
ENSG00000048052	573	680	446	419
ENSG00000048140	965	1013	906	893
ENSG00000048162	1708	1809	1538	1621
ENSG00000048342	11	12	7	12
ENSG00000048392	1914	2002	1782	1530
ENSG00000048405	1080	1193	943	947
ENSG00000048462	2	0	0	1
ENSG00000048471	316	344	306	319
ENSG00000048540	0	3	1	1
ENSG00000048544	2505	2775	2549	2473
ENSG00000048545	0	0	0	0
ENSG00000048649	2957	3226	3030	2869
ENSG00000048707	2201	2380	2181	2161
ENSG00000048740	7171	7655	6921	6728
ENSG00000048828	7406	8082	8758	8322
ENSG00000048991	3140	3328	2849	2873
ENSG00000049089	6945	7005	11558	12160
ENSG00000049130	1004	1099	1351	1237
ENSG00000049167	320	332	301	276
ENSG00000049192	12	13	12	12
ENSG00000049239	1661	1679	1241	1244
ENSG00000049245	1703	1846	1836	1817
ENSG00000049246	134	150	77	90
ENSG00000049247	385	338	305	341
ENSG00000049249	21	26	117	94
ENSG00000049283	0	1	1	0
ENSG00000049323	14	20	13	10
ENSG00000049449	1715	1697	1735	1729
ENSG00000049540	3	1	0	0
ENSG00000049541	1558	1593	1564	1584
ENSG00000049618	4432	4714	3565	3341
ENSG00000049656	7123	7545	6299	6565
ENSG00000049759	442	504	399	410
ENSG00000049768	3	5	4	3
ENSG00000049769	115	107	124	144
ENSG00000049860	2496	2650	4100	3835
ENSG00000049883	697	765	683	625
ENSG00000050030	145	197	121	147
ENSG00000050130	1419	1612	1307	1214
ENSG00000050165	0	0	3	0
ENSG00000050327	34	48	29	28
ENSG00000050344	503	540	1916	1931
ENSG00000050393	891	941	897	847
ENSG00000050405	1986	2175	1629	1592
ENSG00000050426	1057	1189	1132	1147
ENSG00000050438	84	68	161	134
ENSG00000050555	10	8	8	8
ENSG00000050628	17	8	15	13
ENSG00000050730	5	4	6	3
ENSG00000050748	2503	2731	2181	2046
ENSG00000050767	383	393	259	281
ENSG00000050820	242	277	269	316
ENSG00000051009	856	893	781	825
ENSG00000051108	1078	1118	1027	959
ENSG00000051128	1327	1388	718	753
